"table","RLS enabled","expected access","current risk","recommended fix"
"achievements","yes","own rows only","patched missing/unclear RLS coverage","keep explicit own-row policies and tests"
"activity_feed","yes","own rows only","low after review","no change"
"adaptive_push_queue","yes","own rows only","low after review","no change"
"adaptive_push_settings","yes","own rows only","low after review","no change"
"adversary_essences","yes","own rows only","low after review","no change"
"adversary_images","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"ai_interactions","yes","own rows only","low after review","no change"
"ai_output_validation_log","yes","owner rows plus admin/service override","low after review","no change"
"astral_encounters","yes","own rows only","low after review","no change"
"audio_clips","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"battle_history","yes","own rows only","low after review","no change"
"battle_matches","yes","admin/service only","low after review","no change"
"battle_participants","yes","admin/service only","low after review","no change"
"battle_rankings","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"battle_rounds","yes","admin/service only","low after review","no change"
"card_move_assignments","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"card_moves","yes","public read","low if content-only","no change if intended public catalog"
"challenge_progress","yes","own rows only","low after review","no change"
"challenge_tasks","yes","public read; admin write","patched missing/unclear RLS coverage","keep public-read/admin-write only"
"challenges","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"check_ins","yes","own rows only","low after review","no change"
"communities","yes","public read; owner-scoped writes","low after review","no change"
"community_members","yes","own rows only","low after review","no change"
"companion_behavior_log","yes","own rows only","low after review","no change"
"companion_evolution_cards","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"companion_evolutions","yes","admin/service only","low after review","no change"
"companion_evolution_jobs","yes","own rows only","low after review","no change"
"companion_memorials","yes","own rows only","low after review","no change"
"companion_memories","yes","own rows only","low after review","no change"
"companion_pending_consequences","yes","own rows only","low after review","no change"
"companion_postcards","yes","own rows only","low after review","no change"
"companion_reactions","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"companion_skins","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"companion_stories","yes","own rows only","low after review","no change"
"companion_voice_templates","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"contact_interactions","yes","own rows only","low after review","no change"
"contact_reminders","yes","own rows only","low after review","no change"
"contacts","yes","own rows only","low after review","no change"
"cosmic_codex_entries","yes","own rows only","low after review","no change"
"cosmic_deep_dive_feedback","yes","own rows only","low after review","no change"
"daily_check_ins","yes","own rows only","low after review","no change"
"daily_messages","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"daily_missions","yes","own rows only","low after review","no change"
"daily_pep_talks","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"daily_plan_sessions","yes","own rows only","low after review","no change"
"daily_planning_preferences","yes","own rows only","low after review","no change"
"daily_quotes","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"daily_tasks","yes","own rows only","low after review","no change"
"downloads","yes","own rows only","low after review","no change"
"epic_activity_feed","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"epic_discord_events","yes","admin/service only","low after review","no change"
"epic_habits","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"epic_journey_paths","yes","owner read; trusted server writes","low after edge-function hardening","keep caller-bound writes"
"epic_members","yes","own rows only","low after review","no change"
"epic_milestones","yes","own rows only","low after review","no change"
"epic_progress_log","yes","own rows only","low after review","no change"
"epic_rewards","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"epic_story_types","yes","public read","low if content-only","no change if intended public catalog"
"epic_templates","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"epics","yes","own rows only","low after review","no change"
"evening_reflections","yes","own rows only","low after review","no change"
"evolution_thresholds","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"external_calendar_events","yes","owner rows plus admin/service override","low after review","no change"
"calendar_user_settings","yes","owner rows plus admin/service override","low after review","no change"
"favorites","yes","own rows only","low after review","no change"
"focus_sessions","yes","own rows only","low after review","no change"
"guild_artifact_unlocks","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"guild_artifacts","yes","public read","low if content-only","no change if intended public catalog"
"guild_blessing_charges","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"guild_blessing_types","yes","public read","low if content-only","no change if intended public catalog"
"guild_blessings","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"guild_boss_damage_log","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"guild_boss_encounters","yes","admin/service only","low after review","no change"
"guild_legends","yes","admin/service only","low after review","no change"
"guild_member_titles","yes","public read","low if content-only","no change if intended public catalog"
"guild_prophecies","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"guild_raid_scores","yes","public read","low if content-only","no change if intended public catalog"
"guild_raid_seasons","yes","public read","low if content-only","no change if intended public catalog"
"guild_ritual_attendance","yes","public read","low if content-only","no change if intended public catalog"
"guild_rituals","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"guild_rivalries","yes","own rows only","low after review","no change"
"guild_shouts","yes","own rows only","low after review","no change"
"guild_stories","yes","admin/service only","low after review","no change"
"guild_story_reads","yes","own rows only","low after review","no change"
"guild_titles","yes","public read","low if content-only","no change if intended public catalog"
"habit_completions","yes","own rows only","low after review","no change"
"habits","yes","own rows only","low after review","no change"
"hero_slides","yes","admin/service only","low after review","no change"
"influencer_creation_log","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"journey_phases","yes","own rows only","low after review","no change"
"lesson_mentors","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"lesson_progress","yes","own rows only","low after review","no change"
"lessons","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"mentor_chat_feedback","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"mentor_chats","yes","own rows only","low after review","no change"
"mentor_nudges","yes","owner rows plus admin/service override","low after review","no change"
"mentor_story_relationship","yes","own rows only","low after review","no change"
"mentors","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"mood_logs","yes","own rows only","low after review","no change"
"morning_briefings","yes","own rows only","low after review","no change"
"muted_guild_users","yes","own rows only","low after review","no change"
"payment_history","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"pep_talk_mentors","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"pep_talks","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"personal_quest_templates","yes","own rows only","low after review","no change"
"playlist_items","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"playlists","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"productivity_stats","yes","own rows only","low after review","no change"
"profiles","yes","owner read/write; premium/referral/life-state fields server-managed","patched immutable premium/referral/streak/life fields","keep sensitive fields server-managed"
"prompt_templates","yes","public read","low if content-only","no change if intended public catalog"
"push_device_tokens","yes","own rows only","low after review","no change"
"push_notification_queue","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"push_subscriptions","yes","own rows only","low after review","no change"
"questionnaire_responses","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"quotes","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"referral_codes","yes","minimal public validation; owner/admin detail","low after review","keep public validation response minimal"
"referral_config","yes","admin/service only","low after review","no change"
"referral_payouts","yes","owner/admin only","low after review","no change"
"reminders","yes","own rows only","low after review","no change"
"resist_log","yes","own rows only","low after review","no change"
"rhythm_track_ratings","yes","public read; owner-scoped writes","low after review","no change"
"rhythm_tracks","yes","admin/service only","low after review","no change"
"security_audit_log","yes","admin/service only","low after review","no change"
"shout_push_log","yes","admin/service only","low after review","no change"
"story_characters","yes","own rows only","low after review","no change"
"story_universe","yes","own rows only","low after review","no change"
"subscriptions","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"subtasks","yes","own rows only","low after review","no change"
"task_contexts","yes","own rows only","low after review","no change"
"task_dependencies","yes","own rows only","low after review","no change"
"task_reminders_log","yes","owner rows plus admin/service override","low after review","no change"
"user_ai_learning","yes","own rows only","low after review","no change"
"user_ai_preferences","yes","own rows only","low after review","no change"
"user_bad_habits","yes","own rows only","low after review","no change"
"user_calendar_connections","yes","owner rows plus admin/service override","low after review","no change"
"quest_calendar_links","yes","owner rows plus admin/service override","low after review","no change"
"user_challenges","yes","own rows only","low after review","no change"
"user_companion","yes","owner read/write; xp/stage/generated-image fields server-managed","patched immutable progression and image-limit fields","keep progression/image writes server-side"
"user_companion_skins","yes","custom or mixed","reviewed custom policy surface","manual review when schema changes"
"user_cosmic_deep_dives","yes","owner rows plus admin/service override","low after review","no change"
"user_daily_horoscopes","yes","owner rows plus admin/service override","low after review","no change"
"user_daily_pushes","yes","own rows only","low after review","no change"
"user_daily_quote_pushes","yes","own rows only","low after review","no change"
"user_epic_rewards","yes","own rows only","low after review","no change"
"user_reaction_budget","yes","own rows only","low after review","no change"
"user_reaction_history","yes","own rows only","low after review","no change"
"user_reflections","yes","own rows only","patched missing/unclear RLS coverage","keep explicit own-row policies and tests"
"user_roles","yes","admin only","low after review","no change"
"user_welcome_images","yes","own rows only","low after review","no change"
"videos","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"visual_assets","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"visual_mentors","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"weekly_recaps","yes","own rows only","low after review","no change"
"written_content","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"written_mentors","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
"xp_events","yes","own rows read; RPC writes","residual self-award risk reduced but not eliminated","move more XP validation server-side over time"
"zodiac_sign_content","yes","public read; admin/service write","low if writes stay trusted-server only","no change"
